ano,mes,sigla_uf,id_municipio,id_municipio_6,cnae_2_secao,cnae_2_subclasse,cbo_2002,saldo_movimentacao,categoria,grau_instrucao,idade,horas_contratuais,raca_cor,sexo,salario_mensal,tipo_empregador,tipo_estabelecimento,tipo_movimentacao,tipo_deficiencia,indicador_trabalho_intermitente,indicador_trabalho_parcial,tamanho_estabelecimento_janeiro,indicador_aprendiz,origem_informacao,indicador_fora_prazo
2021,10,MS,5002704,500270,F,4221904,318705,-1,111,7,,,1,3,,0,1,31,0,1,0,10,0,1,0
2021,10,MS,5003256,500325,G,4721102,521110,1,101,7,,,3,3,,0,1,97,0,0,0,4,0,1,0
2021,10,MS,5002704,500270,G,4711301,411030,1,101,9,,,3,3,,0,1,97,0,0,0,1,0,1,0
2021,10,MS,5002704,500270,I,5611203,521140,-1,101,7,,,6,3,,0,1,31,0,0,0,1,0,1,0
2021,10,MS,5003702,500370,S,9601701,516345,1,101,7,,,6,3,,0,1,97,0,0,0,3,0,1,0
2021,10,MS,5008305,500830,F,4120400,717020,-1,101,7,,,1,1,,0,1,31,0,0,0,6,0,1,0
2021,10,MS,5005707,500570,G,4789004,411010,1,101,7,,,6,3,,0,1,97,0,0,0,1,0,1,0
2021,10,MS,5003702,500370,F,4399103,717020,-1,101,7,,,6,1,,0,1,40,0,0,0,5,0,1,0
2021,10,MS,5003454,500345,C,3311200,724410,1,101,7,,,6,1,,0,1,97,0,0,0,8,0,1,0
2021,10,MS,5002308,500230,G,4744099,514320,-1,101,2,,,3,3,,0,1,31,0,0,0,3,0,1,0
2021,10,MS,5003702,500370,C,2511000,724315,1,999,7,,,6,1,,0,1,97,0,0,0,2,0,2,0
2021,10,MS,5003702,500370,Q,8610101,322205,-1,101,7,,,1,3,,0,1,31,0,0,0,8,0,1,0
2021,10,MS,5004106,500410,G,4781400,521110,1,101,7,,,3,3,,0,1,97,0,0,0,1,0,1,0
2021,10,MS,5003702,500370,I,5510801,514320,1,101,7,,,3,3,,0,1,97,0,0,0,5,0,1,0
2021,10,MS,5008305,500830,F,4330499,782510,-1,101,5,,,3,3,,0,1,31,0,0,0,5,0,1,0
2021,10,MS,5007950,500795,A,151201,623110,1,101,7,,,1,1,,2,3,97,0,0,0,99,0,1,0
2021,10,MS,5002704,500270,K,6550200,521130,-1,101,7,,,3,1,,0,1,40,0,0,0,9,0,1,0
2021,10,MS,5008305,500830,C,1710900,782510,1,101,2,,,3,1,,0,1,97,0,0,0,10,0,1,0
2021,10,MS,5002704,500270,H,4930202,414215,1,101,7,,,1,1,,0,1,97,0,0,0,6,0,1,0
2021,10,MS,5000856,500085,C,1071600,222110,1,101,9,,,1,1,,0,1,97,0,0,0,10,0,1,0
2021,10,MS,5003207,500320,P,8532500,514120,1,101,5,,,6,3,,0,1,97,0,0,0,3,0,1,0
2021,10,MS,5006606,500660,G,4686902,782510,1,101,7,,,1,1,,0,1,97,0,0,0,5,0,1,0
2021,10,MS,5008305,500830,G,4731800,421125,1,101,7,,,3,3,,0,1,97,0,0,0,2,0,1,0
2021,10,MS,5003702,500370,G,4530703,411010,-1,101,9,,,1,1,,0,1,40,0,0,0,4,0,1,0
2021,10,MS,5000203,500020,G,4721102,513505,1,101,7,,,3,3,,0,1,97,0,0,0,5,0,1,0
2021,10,MS,5002704,500270,C,2330302,301110,1,101,6,,,3,1,,0,1,97,0,0,0,6,0,1,0
2021,10,MS,5002704,500270,N,8111700,514225,-1,101,7,,,3,3,,0,1,43,0,0,0,10,0,1,0
2021,10,MS,5000203,500020,I,5620101,513205,1,101,6,,,1,1,,0,1,97,0,0,0,1,0,1,0
2021,10,MS,5003702,500370,M,7319002,421125,-1,101,8,,,6,3,,0,1,40,0,0,0,1,0,1,0
2021,10,MS,5007208,500720,C,1071600,784205,-1,101,6,,,3,1,,0,1,31,0,0,0,10,0,1,0
2021,10,MS,5002704,500270,F,4330402,414120,-1,101,7,,,6,1,,0,1,40,0,0,0,5,0,1,0
2021,10,MS,5004700,500470,G,4711302,414110,-1,101,6,,,1,1,,0,1,40,0,0,0,7,0,1,0
2021,10,MS,5002704,500270,H,4930201,783210,1,101,7,,,6,1,,0,1,97,0,0,0,6,0,1,0
2021,10,MS,5003702,500370,G,4771701,223405,-1,101,9,,,1,1,,0,1,31,0,0,0,1,0,1,0
2021,10,MS,5002704,500270,I,5611201,513435,-1,101,4,,,3,3,,0,1,43,0,0,0,4,0,1,0
2021,10,MS,5002704,500270,J,6010100,261135,1,101,9,,,3,3,,0,1,97,0,0,0,4,0,1,0
2021,10,MS,5002704,500270,G,4635402,414105,1,101,7,,,3,1,,0,1,97,0,0,0,7,0,1,0
2021,10,MS,5003306,500330,A,151201,623110,1,101,7,,,6,1,,2,3,97,0,0,0,99,0,1,0
2021,10,MS,5002704,500270,I,5611201,371410,-1,101,7,,,1,3,,0,1,43,0,0,0,5,0,1,0
2021,10,MS,5003702,500370,G,4520001,521110,-1,101,7,,,6,1,,0,1,31,0,0,0,2,0,1,0
2021,10,MS,5002951,500295,G,4635402,783225,1,101,7,,,3,1,,0,1,97,0,0,0,1,0,1,0
2021,10,MS,5002704,500270,F,4120400,724205,1,101,5,,,6,1,,0,1,97,0,0,0,7,0,1,0
2021,10,MS,5002951,500295,G,4691500,521125,1,101,7,,,3,3,,0,1,97,0,0,0,7,0,1,0
2021,10,MS,5002704,500270,J,6120501,422105,1,101,9,,,1,3,,0,1,97,0,0,0,5,0,1,0
2021,10,MS,5001102,500110,F,4399103,717020,-1,101,7,,,6,1,,0,1,40,0,0,0,5,0,1,0
2021,10,MS,5002704,500270,C,1013901,784205,1,101,7,,,3,1,,0,1,97,0,0,0,8,0,1,0
2021,10,MS,5003702,500370,N,8299799,421125,-1,101,8,,,6,3,,0,1,40,0,0,0,1,0,1,0
2021,10,MS,5008305,500830,N,7810800,784205,-1,101,7,,,1,1,,0,1,31,0,0,0,7,0,1,0
2021,10,MS,5002704,500270,G,4763601,784105,-1,101,7,,,1,3,,0,1,43,0,0,0,5,0,1,0
2021,10,MS,5002704,500270,I,5611203,513205,1,101,7,,,6,3,,0,1,97,0,0,0,1,0,1,0
2021,10,MS,5002704,500270,G,4771701,521130,1,101,7,,,3,1,,0,1,97,0,0,0,3,0,1,0
2021,10,MS,5005400,500540,C,2512800,724440,-1,101,7,,,1,1,,0,1,31,0,0,0,1,0,1,0
2021,10,MS,5003702,500370,C,1012103,784205,-1,101,7,,,3,1,,0,1,32,0,0,0,10,0,1,0
2021,10,MS,5000203,500020,A,210106,622015,1,101,7,,,3,3,,0,1,97,0,0,0,4,0,1,0
2021,10,MS,5007935,500793,A,113000,212420,-1,101,8,,,3,1,,0,1,40,0,0,0,10,0,1,0
2021,10,MS,5002704,500270,Q,8711502,516210,1,101,7,,,3,3,,0,1,97,0,0,0,1,0,1,0
2021,10,MS,5002704,500270,Q,8640205,422110,-1,101,7,,,3,3,,0,1,40,0,0,0,4,0,1,0
2021,10,MS,5001003,500100,C,1012101,784205,-1,101,4,,,3,1,,0,1,40,0,0,0,9,0,1,0
2021,10,MS,5002951,500295,I,5611203,513405,1,101,7,,,3,1,,0,1,97,0,0,0,3,0,1,0
2021,10,MS,5008305,500830,N,8129000,517220,-1,101,3,,,6,1,,0,1,43,0,0,0,2,0,1,0
2021,10,MS,5002951,500295,A,161099,321105,1,101,7,,,3,1,,0,1,97,0,0,0,8,0,1,0
2021,10,MS,5003702,500370,R,9321200,521110,1,101,7,,,1,3,,0,1,97,0,0,0,4,0,1,0
2021,10,MS,5002704,500270,G,4771702,142330,-1,101,7,,,1,3,,0,1,40,0,0,0,5,0,1,0
2021,10,MS,5002704,500270,P,8513900,514120,1,101,4,,,6,3,,0,1,97,0,0,0,5,0,1,0
2021,10,MS,5001904,500190,C,1749400,833110,1,101,7,,,6,3,,0,1,97,0,0,0,9,0,1,0
2021,10,MS,5007406,500740,G,4530703,951105,1,999,6,,,1,1,,0,1,10,0,0,0,2,0,2,0
2021,10,MS,5000856,500085,C,1071600,782510,1,101,9,,,3,1,,0,1,97,0,0,0,10,0,1,0
2021,10,MS,5002704,500270,A,141502,514225,1,101,6,,,6,1,,0,1,97,0,0,0,6,0,1,0
2021,10,MS,5002704,500270,G,4711301,517330,-1,101,7,,,1,1,,0,1,40,0,0,0,8,0,1,0
2021,10,MS,5003702,500370,A,154700,623215,-1,101,5,,,6,1,,0,1,40,0,0,0,4,0,1,0
