ano,mes,competencia_movimentacao,sigla_uf,id_municipio,id_municipio_6,admitidos_desligados,tipo_estabelecimento,tipo_movimentacao_desagregado,faixa_emprego_inicio_janeiro,tempo_emprego,quantidade_horas_contratadas,salario_mensal,saldo_movimentacao,indicador_aprendiz,indicador_trabalho_intermitente,indicador_trabalho_parcial,indicador_portador_deficiencia,tipo_deficiencia,cbo_1994,cbo_2002,cnae_1,cnae_2_subclasse,grau_instrucao,idade,sexo,raca_cor,subsetor_ibge,bairros_sp,bairros_fortaleza,bairros_rj,distritos_sp,regiao_administrativas_df,regiao_administrativas_rj,regiao_administrativas_sp,regiao_corede,regiao_corede_04,regiao_gov_sp,regiao_senac_pr,regiao_senai_pr,regiao_senai_sp,subregiao_senai_pr,regiao_metropolitana_mte
2012,12,2012-11,ES,3201209,320120,02,01,04,04,7.0,44,6.9,-1,0,,,0,00,95932,717020,45217,4120400,07,23,01,02,15,,,,,,, 999,,  99, 999,  99,, 999,99,
2012,12,2012-11,ES,3201308,320130,01,01,02,04,0.0,44,6.68,1,0,,,0,00,39310,411005,74993,8211300,07,25,02,02,19,,,,,,, 999,,  99, 999,  99,, 999,99,
2011,4,2010-05,CE,2304400,230440,01,01,01,01,0.0,44,5.1,1,0,,,0,00,75690,311710,92614,9313100,05,20,01,08,21,,,,,,, 999,,  99, 999,  99,, 999,99, 2
2011,4,2011-01,CE,2304400,230440,01,01,25,01,0.0,44,10.0,1,0,,,0,00,24150,142205,74160,7020400,09,22,02,02,19,,,,,,, 999,,  99, 999,  99,, 999,99, 2
2011,4,2011-02,CE,2304400,230440,01,01,01,01,0.0,44,5.65,1,0,,,0,00,03020,351105,74160,7020400,08,22,01,02,19,,,,,,, 999,,  99, 999,  99,, 999,99, 2
2011,4,2011-03,CE,2304400,230440,02,01,04,04,13.0,44,5.45,-1,0,,,0,00,95932,717020,45292,4299599,05,46,01,08,15,,,,,,, 999,,  99, 999,  99,, 999,99, 2
2011,4,2011-03,CE,2307650,230765,01,01,01,04,0.0,44,5.55,1,0,,,0,00,55220,514320,51594,4686902,06,18,01,04,17,,9999,,,,, 999,,  99, 999,  99,, 999,99, 2
2011,4,2011-03,CE,2300200,230020,01,01,02,05,0.0,44,5.45,1,0,,,0,00,66230,631020,05126,0321302,02,32,01,08,25,,9999,,,,, 999,,  99, 999,  99,, 999,99,
2011,4,2011-03,CE,2308104,230810,01,03,01,05,0.0,44,5.45,1,0,,,0,00,95932,717020,45292,4291000,07,19,01,08,15,,9999,,,,, 999,,  99, 999,  99,, 999,99,
2011,4,2011-03,CE,2307650,230765,02,01,06,06,4.0,44,12.49,-1,0,,,0,00,70165,760125,18112,1411802,07,31,02,08,11,,9999,,,,, 999,,  99, 999,  99,, 999,99, 2
2011,4,2011-03,CE,2304400,230440,01,01,02,02,0.0,44,5.45,1,0,,,0,00,14220,231205,80152,8513900,07,42,02,09,23,,,,,,, 999,,  99, 999,  99,, 999,99, 2
2011,4,2011-03,CE,2304400,230440,02,01,04,01,8.0,44,5.7,-1,0,,,0,00,45130,521110,52329,4781400,07,23,02,02,16,,,,,,, 999,,  99, 999,  99,, 999,99, 2
2010,5,2009-07,AM,1302603,130260,01,01,02,04,0.0,44,9.5,1,0,,,0,00,14320,231105,80152,8513900,09,26,02,08,23,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,5,2009-09,AM,1301902,130190,02,01,04,04,10.0,44,5.5,-1,0,,,0,00,95932,717020,26417,2342702,04,51,01,08,02,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,5,2009-11,AM,1302603,130260,01,01,02,01,0.0,44,5.04,1,0,,,0,00,95410,715505,20230,1623400,07,37,01,08,07,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,5,2009-11,AM,1302603,130260,01,01,01,02,0.0,44,5.0,1,0,,,0,00,39140,414110,51470,4647801,07,23,01,08,17,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,5,2010-01,AM,1302603,130260,01,01,02,06,0.0,44,35.0,1,0,,,0,00,000-1,141615,29696,3321000,09,44,01,09,04,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,5,2010-02,AM,1302603,130260,02,01,11,04,6.0,44,5.25,-1,0,,,0,00,000-1,521110,52337,4782201,06,36,01,08,16,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,5,2010-02,AM,1302603,130260,02,01,04,04,46.0,44,5.25,-1,0,,,0,00,000-1,521110,52337,4782201,06,24,01,08,16,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,5,2010-03,AM,1302603,130260,01,01,02,07,0.0,44,6.0,1,0,,,0,00,000-1,422105,74705,8121400,07,20,01,08,21,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,5,2010-03,AM,1302603,130260,01,01,02,04,0.0,36,6.76,1,0,,,0,00,000-1,521135,52493,4789099,07,22,01,08,16,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,5,2010-03,AM,1302603,130260,01,01,01,05,0.0,44,6.02,1,0,,,0,00,000-1,252305,74500,7820500,07,41,01,08,19,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,5,2010-03,AM,1302603,130260,01,01,02,02,0.0,44,5.1,1,0,,,0,00,000-1,513435,55220,5611203,07,28,01,08,21,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,5,2010-03,AM,1303403,130340,01,01,01,02,0.0,40,5.1,1,0,,,0,00,000-1,517420,80136,8511200,07,38,01,08,23,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,5,2010-03,AM,1302603,130260,02,01,04,05,13.0,44,8.12,-1,0,,,0,00,000-1,513405,55220,5611203,04,20,01,02,21,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,5,2010-03,AM,1304203,130420,01,01,01,01,0.0,44,5.1,1,0,,,0,00,000-1,231205,80144,8512100,09,34,02,02,23,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,5,2010-04,AM,1302603,130260,02,01,11,04,4.0,44,5.1,-1,0,,,0,00,000-1,512105,52329,4781400,06,37,01,08,16,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,5,2010-04,AM,1302603,130260,01,01,02,07,0.0,44,5.3,1,0,,,0,00,000-1,141405,51454,4644301,07,24,01,08,17,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,5,2010-04,AM,1302603,130260,01,01,01,04,0.0,44,6.3,1,0,,,0,00,000-1,818110,74306,7120100,07,22,01,09,19,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,5,2010-04,AM,1302603,130260,01,01,25,02,0.0,44,5.25,1,0,,,0,00,000-1,521110,52329,4781400,07,19,02,08,16,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,5,2010-04,AM,1302603,130260,01,01,01,07,0.0,20,2.55,1,1,,,0,00,000-1,411005,15954,1122401,06,16,02,08,13,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,5,2010-04,AM,1302603,130260,01,01,02,05,0.0,44,5.22,1,0,,,0,00,000-1,514320,51454,4645101,05,42,02,02,17,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,5,2010-04,AM,1302603,130260,01,01,02,01,0.0,44,5.25,1,0,,,0,00,000-1,515210,74128,6920601,09,40,02,02,19,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,5,2010-04,AM,1302603,130260,01,01,01,07,0.0,44,5.33,1,0,,,0,00,000-1,741115,33502,2652300,07,26,02,08,04,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,5,2010-04,AM,1302603,130260,01,01,01,03,0.0,44,5.25,1,0,,,0,00,000-1,414105,51535,4679699,05,40,01,08,17,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,5,2010-04,AM,1302603,130260,01,01,02,04,0.0,44,5.25,1,0,,,0,00,000-1,513425,52132,4712100,07,34,02,08,16,,,,,,, 999,,  99, 999,  99,, 999,99,
2010,5,2010-04,AM,1302603,130260,01,01,01,01,0.0,44,6.0,1,0,,,0,00,000-1,413230,74144,6462000,07,19,01,09,19,,,,,,, 999,,  99, 999,  99,, 999,99,
2011,5,2011-01,AP,1600204,160020,02,01,04,04,8.0,44,5.5,-1,0,,,0,00,95932,717020,45217,4120400,07,42,01,09,15,,,,,,, 999,,  99, 999,  99,, 999,99,
2011,5,2011-01,AP,1600303,160030,01,01,01,01,0.0,44,5.72,1,0,,,0,00,45190,521125,52132,4712100,04,19,01,08,16,,,,,,, 999,,  99, 999,  99,, 999,99,
2011,5,2011-04,AP,1600303,160030,02,01,04,06,19.0,44,6.54,-1,0,,,0,00,55220,514310,51454,4644301,07,29,01,08,17,,,,,,, 999,,  99, 999,  99,, 999,99,
2011,5,2011-04,AP,1600303,160030,01,01,02,04,0.0,44,8.72,1,0,,,0,00,45230,524105,50423,4543900,07,34,01,08,21,,,,,,, 999,,  99, 999,  99,, 999,99,
2011,2,2010-03,ES,3205200,320520,02,01,06,02,13.0,44,5.15,-1,0,,,0,00,77315,848505,15857,1095300,04,35,02,08,13,,,,,,, 999,,  99, 999,  99,, 999,99,
2011,2,2010-12,ES,3203106,320310,02,01,11,04,8.0,44,6.79,-1,0,,,0,00,57290,515105,75116,8411600,07,34,02,02,24,,,,,,, 999,,  99, 999,  99,, 999,99,
2011,2,2011-01,ES,3205309,320530,01,01,02,02,0.0,44,5.5,1,0,,,0,00,95932,717020,45217,4120400,07,41,01,02,15,,,,,,, 999,,  99, 999,  99,, 999,99,
2011,2,2011-01,ES,3201209,320120,02,01,04,03,7.0,44,7.5,-1,0,,,0,00,31125,411010,26913,2391503,07,31,02,02,02,,,,,,, 999,,  99, 999,  99,, 999,99,
2011,2,2011-01,ES,3205200,320520,02,01,04,04,13.0,44,5.5,-1,0,,,0,00,95110,715210,45217,4120400,06,24,01,02,15,,,,,,, 999,,  99, 999,  99,, 999,99,
2011,2,2011-01,ES,3205309,320530,01,01,02,01,0.0,44,8.63,1,0,,,0,00,31125,411010,45217,4120400,08,21,02,02,15,,,,,,, 999,,  99, 999,  99,, 999,99,
2011,2,2011-01,ES,3205309,320530,01,01,01,05,0.0,39,15.06,1,0,,,0,00,39310,411005,91910,9491000,08,21,01,02,21,,,,,,, 999,,  99, 999,  99,, 999,99,
2012,2,2012-01,PI,2207801,220780,01,03,01,01,0.0,44,8.8,1,0,,,0,00,95110,715210,45292,4222701,04,26,01,08,15,,,,,,, 999,,  99, 999,  99,, 999,99,
2012,2,2012-01,PI,2202901,220290,02,01,04,01,26.0,44,6.22,-1,0,,,0,00,39310,411005,74128,6920601,07,20,02,08,19,,,,,,, 999,,  99, 999,  99,, 999,99,
