ano,mes,sigla_uf,id_municipio,id_municipio_6,admitidos_desligados,tipo_estabelecimento,tipo_movimentacao_desagregado,faixa_emprego_inicio_janeiro,tempo_emprego,quantidade_horas_contratadas,salario_mensal,saldo_movimentacao,indicador_aprendiz,indicador_trabalho_intermitente,indicador_trabalho_parcial,indicador_portador_deficiencia,tipo_deficiencia,cbo_2002,cnae_1,cnae_2,cnae_2_subclasse,grau_instrucao,idade,sexo,raca_cor,subsetor_ibge,bairros_sp,bairros_fortaleza,bairros_rj,distritos_sp,regiao_administrativas_df,regiao_administrativas_rj,regiao_administrativas_sp,regiao_corede,regiao_corede_04,regiao_gov_sp,regiao_senac_pr,regiao_senai_pr,regiao_senai_sp,subregiao_senai_pr
2007,11,PR,4105805,410580,02,01,06,01,1.0,44,430.0,-1,0,,,0,,784205,000-1,46346,00000-1,04,31,01,08,17,0000,0000,0000,0000,0000,,999,,99,999,07,02,999,01
2007,11,PR,4106902,410690,01,01,02,06,0.0,44,1029.0,1,0,,,0,,782305,000-1,85996,00000-1,07,30,01,02,23,0000,0000,0000,0000,0000,,999,,99,999,07,02,999,01
2007,11,PR,4106902,410690,01,01,02,01,0.0,36,443.0,1,0,,,0,,422310,000-1,82202,8220200,07,22,02,08,19,0000,0000,0000,0000,0000,,999,,99,999,07,02,999,01
2007,11,PR,4123402,412340,02,01,06,06,23.0,44,603.0,-1,0,,,0,,763210,000-1,14126,00000-1,05,22,02,02,11,0000,0000,0000,0000,0000,,999,,99,999,13,04,999,08
2007,11,PR,4106902,410690,02,01,04,09,6.0,36,445.0,-1,0,,,0,,422310,000-1,61302,00000-1,07,25,02,02,20,0000,0000,0000,0000,0000,,999,,99,999,07,02,999,01
2007,11,PR,4106902,410690,02,01,04,09,5.0,36,445.0,-1,0,,,0,,422310,000-1,61302,00000-1,07,28,01,04,20,0000,0000,0000,0000,0000,,999,,99,999,07,02,999,01
2007,11,PR,4106902,410690,02,01,04,09,56.0,40,1144.0,-1,0,,,0,,391210,000-1,61302,00000-1,07,27,02,02,20,0000,0000,0000,0000,0000,,999,,99,999,07,02,999,01
2007,11,PR,4118907,411890,01,01,02,03,0.0,44,456.0,1,0,,,0,,763210,000-1,14126,00000-1,06,29,02,02,11,0000,0000,0000,0000,0000,,999,,99,999,20,04,999,12
2007,11,PR,4101002,410100,02,01,04,01,14.0,44,536.0,-1,0,,,0,,992115,000-1,22129,00000-1,04,33,01,02,9,0000,0000,0000,0000,0000,,999,,99,999,09,01,999,21
2007,11,PR,4115200,411520,02,01,11,02,0.0,44,475.0,-1,0,,,0,,252305,000-1,47512,00000-1,07,22,01,02,16,0000,0000,0000,0000,0000,,999,,99,999,13,04,999,08
2007,11,PR,4118204,411820,01,01,02,01,0.0,44,450.0,1,0,,,0,,514210,000-1,41204,00000-1,05,27,01,08,15,0000,0000,0000,0000,0000,,999,,99,999,14,02,999,02
2008,7,GO,5208707,520870,02,01,06,09,1.0,36,451.0,-1,0,,,0,00,422315,74993,82202,8220200,08,22,02,08,19,0000,0000,0000,0000,0000,,999,,99,999,99,,999,99
2008,7,GO,5209705,520970,01,01,02,02,0.0,44,415.0,1,0,,,0,00,514210,15946,11216,1121600,05,18,01,08,13,0000,0000,0000,0000,0000,,999,,99,999,99,,999,99
2008,7,GO,5200258,520025,01,01,01,01,0.0,44,468.0,1,0,,,0,00,717020,45500,43304,4330499,02,19,01,06,15,0000,0000,0000,0000,0000,,999,,99,999,99,,999,99
2007,7,MG,3106200,310620,01,01,02,02,0.0,44,465.0,1,0,,,0,,521110,000-1,46427,00000-1,05,32,02,06,17,0000,0000,0000,0000,0000,,999,,99,999,99,,999,99
2007,7,MG,3144805,314480,02,01,06,06,8.0,44,1864.0,-1,0,,,0,,316110,000-1,71120,00000-1,07,30,01,02,19,0000,0000,0000,0000,0000,,999,,99,999,99,,999,99
2007,7,MG,3170206,317020,01,01,02,04,0.0,44,385.0,1,0,,,0,,414215,000-1,47890,00000-1,07,16,01,02,16,0000,0000,0000,0000,0000,,999,,99,999,99,,999,99
2007,7,MG,3122306,312230,01,01,02,01,0.0,44,390.0,1,0,,,0,,421125,000-1,93298,00000-1,07,41,02,02,21,0000,0000,0000,0000,0000,,999,,99,999,99,,999,99
2007,7,MG,3170107,317010,02,01,04,01,26.0,44,570.0,-1,0,,,0,,513435,000-1,56121,00000-1,05,25,02,02,21,0000,0000,0000,0000,0000,,999,,99,999,99,,999,99
2007,7,MG,3106705,310670,02,01,04,01,28.0,44,393.0,-1,0,,,0,,521110,000-1,47211,00000-1,05,38,02,02,16,0000,0000,0000,0000,0000,,999,,99,999,99,,999,99
2007,7,MG,3127701,312770,02,01,04,03,7.0,44,417.0,-1,0,,,0,,514210,000-1,94995,00000-1,05,18,01,08,21,0000,0000,0000,0000,0000,,999,,99,999,99,,999,99
2013,3,PA,1505536,150553,01,01,02,01,0.0,44,719.0,1,0,,,0,00,717020,45136,43134,4313400,06,19,01,08,15,,,,,0000,,999,,99,999,99,,999,99
2007,6,SP,3511904,351190,01,01,25,01,0.0,44,786.0,1,0,,,0,,252210,000-1,84116,00000-1,09,62,01,02,24,9999,0000,0000,9999,0000,,001,,99,031,99,,002,99
2007,6,SP,3550308,355030,01,01,02,06,0.0,44,488.0,1,0,,,0,,622010,000-1,81214,00000-1,05,30,01,08,21,1264,0000,0000,0071,0000,,013,,99,001,99,,046,99
2007,6,SP,3525904,352590,02,01,04,09,4.0,44,453.0,-1,0,,,0,,732130,000-1,71120,00000-1,07,40,01,02,19,9999,0000,0000,9999,0000,,004,,99,016,99,,022,99
2007,6,SP,3550308,355030,02,01,04,04,37.0,44,790.0,-1,0,,,0,,517330,000-1,80111,00000-1,05,30,01,08,21,1791,0000,0000,0021,0000,,013,,99,001,99,,046,99
