ano,mes,sigla_uf,id_municipio,id_municipio_6,admitidos_desligados,tipo_estabelecimento,tipo_movimentacao_desagregado,faixa_emprego_inicio_janeiro,tempo_emprego,quantidade_horas_contratadas,salario_mensal,saldo_movimentacao,indicador_aprendiz,indicador_trabalho_intermitente,indicador_trabalho_parcial,indicador_portador_deficiencia,tipo_deficiencia,cbo_2002,cnae_1,cnae_2,cnae_2_subclasse,grau_instrucao,idade,sexo,raca_cor,subsetor_ibge,bairros_sp,bairros_fortaleza,bairros_rj,distritos_sp,regiao_administrativas_df,regiao_administrativas_rj,regiao_administrativas_sp,regiao_corede,regiao_corede_04,regiao_gov_sp,regiao_senac_pr,regiao_senai_pr,regiao_senai_sp,subregiao_senai_pr
2011,11,AM,1302603,130260,01,01,01,07,0.0,44,1061.0,1,0,,,0,00,411010,51918,46931,4693100,07,26,01,02,17,,,,,0000,,999,,99,999,99,,999,99
2011,8,RO,1100205,110020,02,01,04,04,4.0,44,1412.0,-1,0,,,0,00,521110,52337,47822,4782201,07,19,02,08,16,,,,,0000,,999,,99,999,99,,999,99
2011,8,RO,1100304,110030,02,01,06,03,5.0,44,545.0,-1,0,,,0,00,515225,01112,01113,0111301,05,26,01,08,25,,,,,0000,,999,,99,999,99,,999,99
2011,8,RO,1100049,110004,02,01,04,04,2.0,44,1019.0,-1,0,,,0,00,421125,52329,47814,4781400,06,21,02,08,16,,,,,0000,,999,,99,999,99,,999,99
2011,8,RO,1100205,110020,01,01,02,09,0.0,44,1115.0,1,0,,,0,00,911305,45314,42219,4221901,02,43,01,08,15,,,,,0000,,999,,99,999,99,,999,99
2011,8,RO,1100205,110020,02,01,06,09,3.0,44,805.0,-1,0,,,0,00,717020,45314,42219,4221901,03,22,01,08,15,,,,,0000,,999,,99,999,99,,999,99
2011,8,RO,1100205,110020,02,01,04,09,7.0,44,1115.0,-1,0,,,0,00,715315,45314,42219,4221901,03,31,01,08,15,,,,,0000,,999,,99,999,99,,999,99
2011,8,RO,1100205,110020,01,01,02,09,0.0,44,1115.0,1,0,,,0,00,715315,45314,42219,4221901,04,26,01,08,15,,,,,0000,,999,,99,999,99,,999,99
2011,8,RO,1100205,110020,01,01,02,09,0.0,44,1115.0,1,0,,,0,00,911305,45314,42219,4221901,03,52,01,08,15,,,,,0000,,999,,99,999,99,,999,99
2011,8,RO,1100205,110020,02,01,11,04,2.0,44,704.0,-1,0,,,0,00,717020,45217,41204,4120400,06,27,01,08,15,,,,,0000,,999,,99,999,99,,999,99
2011,8,RO,1100205,110020,01,01,02,09,0.0,44,1115.0,1,0,,,0,00,715210,45314,42219,4221901,02,59,01,08,15,,,,,0000,,999,,99,999,99,,999,99
2011,8,RO,1100205,110020,01,01,02,04,0.0,44,894.0,1,0,,,0,00,715210,45217,41204,4120400,05,50,01,08,15,,,,,0000,,999,,99,999,99,,999,99
2011,8,RO,1100023,110002,01,01,01,05,0.0,44,588.0,1,0,,,0,00,411005,60267,49302,4930201,08,21,02,02,20,,,,,0000,,999,,99,999,99,,999,99
2011,8,RO,1100023,110002,02,01,04,01,1.0,44,709.0,-1,0,,,0,00,724315,51691,46621,4662100,07,24,01,09,17,,,,,0000,,999,,99,999,99,,999,99
2011,8,RO,1100023,110002,01,01,02,04,0.0,44,675.0,1,0,,,0,00,784205,51535,46711,4671100,07,21,01,09,17,,,,,0000,,999,,99,999,99,,999,99
2011,8,RO,1100288,110028,01,01,02,04,0.0,44,769.0,1,0,,,0,00,717020,45217,41204,4120400,06,23,01,08,15,,,,,0000,,999,,99,999,99,,999,99
2011,8,RO,1100205,110020,02,01,04,05,75.0,36,547.0,-1,0,,,0,00,341215,61220,50211,5021101,07,38,01,08,20,,,,,0000,,999,,99,999,99,,999,99
2011,8,RO,1100205,110020,02,01,04,08,55.0,44,742.0,-1,0,,,0,00,517330,74608,80111,8011101,07,39,01,08,21,,,,,0000,,999,,99,999,99,,999,99
2011,8,RO,1100205,110020,01,01,02,06,0.0,44,655.0,1,0,,,0,00,783215,60240,49221,4922102,07,23,01,08,20,,,,,0000,,999,,99,999,99,,999,99
2011,8,RO,1100205,110020,02,01,11,03,1.0,36,742.0,-1,0,,,0,00,517410,45438,43223,4322303,05,33,02,02,15,,,,,0000,,999,,99,999,99,,999,99
2011,8,RO,1100122,110012,02,01,04,03,19.0,44,700.0,-1,0,,,0,00,411010,24295,20291,2029100,07,29,02,08,10,,,,,0000,,999,,99,999,99,,999,99
2011,8,RO,1100205,110020,02,01,11,03,3.0,44,582.0,-1,0,,,0,00,513435,55212,56112,5611201,06,18,02,08,21,,,,,0000,,999,,99,999,99,,999,99
2011,11,MA,2111300,211130,01,01,02,01,0.0,44,697.0,1,0,,,0,00,521125,52124,47113,4711302,07,25,02,08,16,,,,,0000,,999,,99,999,99,,999,99
2011,11,MA,2111300,211130,01,01,02,08,0.0,44,982.0,1,0,,,0,00,715210,45217,41204,4120400,01,31,01,09,15,,,,,0000,,999,,99,999,99,,999,99
2011,11,MA,2111300,211130,01,01,02,05,0.0,44,595.0,1,0,,,0,00,717020,45217,43991,4399101,06,25,01,08,15,,,,,0000,,999,,99,999,99,,999,99
2011,11,MA,2103802,210380,01,01,02,06,0.0,44,1635.0,1,0,,,0,00,711210,36110,31012,3101200,07,49,01,08, 7,,,,,0000,,999,,99,999,99,,999,99
2011,11,MA,2111300,211130,01,01,02,08,0.0,44,1306.0,1,0,,,0,00,782405,60232,49213,4921301,07,26,01,08,20,,,,,0000,,999,,99,999,99,,999,99
2011,11,MA,2111300,211130,02,01,06,07,7.0,44,1312.0,-1,0,,,0,00,521110,74993,74901,7490104,07,28,01,08,19,,,,,0000,,999,,99,999,99,,999,99
2011,11,MA,2111300,211130,02,01,05,08,13.0,44,993.0,-1,0,,,0,00,521125,51390,46397,4639701,07,30,02,08,17,,,,,0000,,999,,99,999,99,,999,99
2011,11,MA,2111300,211130,02,01,04,08,3.0,36,619.0,-1,0,,,0,00,422310,74993,82202,8220200,07,19,01,08,19,,,,,0000,,999,,99,999,99,,999,99
2011,11,MA,2111201,211120,01,01,01,04,0.0,44,567.0,1,0,,,0,00,514215,90000,38394,3839401,05,22,01,08,14,,,,,0000,,999,,99,999,99,,999,99
2011,11,MA,2103000,210300,01,03,02,01,0.0,44,1100.0,1,0,,,0,00,414105,45217,41204,4120400,07,51,01,08,15,,,,,0000,,999,,99,999,99,,999,99
2011,11,MA,2111300,211130,01,01,02,09,0.0,44,700.0,1,0,,,0,00,517330,74608,80111,8011101,05,30,01,08,21,,,,,0000,,999,,99,999,99,,999,99
